case,rate_hz,section,cutoff_hz,probe_hz,quantum_frames,rbj_magnitude_db,cast_state_magnitude_db,impulse_dft_magnitude_db,sustained_fundamental_db,sustained_residual_db,sustained_total_db,tail_energy,recovery_count
response-high_pass-44100-128-2-3,44100,high_pass,100.00000000000000000,8820.00000000000000000,128,-0.00000004014344625,-0.00000004003626510,-0.00000025870574183,0.00000020853388734,-155.46693538907223342,0.00000008571415579,0.00000000000000000,0
response-high_pass-44100-255-2-3,44100,high_pass,100.00000000000000000,8820.00000000000000000,255,-0.00000004014344625,-0.00000004003626510,-0.00000025870574183,0.00000020853388734,-155.46693538907223342,0.00000008571415579,0.00000000000000000,0
response-high_pass-44100-1024-2-3,44100,high_pass,100.00000000000000000,8820.00000000000000000,1024,-0.00000004014344625,-0.00000004003626510,-0.00000025870574183,0.00000020853388734,-155.46693538907223342,0.00000008571415579,0.00000000000000000,0
response-high_pass-44100-1-2-4,44100,high_pass,100.00000000000000000,19844.00000000000000000,1,-0.00000000000705213,-0.00000000000563167,-0.00000021578515098,-0.00000002243962149,-148.92795708184181080,-0.00000002548163877,0.00000000000000000,0
response-high_pass-44100-127-2-4,44100,high_pass,100.00000000000000000,19844.00000000000000000,127,-0.00000000000705213,-0.00000000000563167,-0.00000021578515098,-0.00000002243962149,-148.92795708184181080,-0.00000002548163877,0.00000000000000000,0
response-high_pass-44100-128-2-4,44100,high_pass,100.00000000000000000,19844.00000000000000000,128,-0.00000000000705213,-0.00000000000563167,-0.00000021578515098,-0.00000002243962149,-148.92795708184181080,-0.00000002548163877,0.00000000000000000,0
response-high_pass-44100-255-2-4,44100,high_pass,100.00000000000000000,19844.00000000000000000,255,-0.00000000000705213,-0.00000000000563167,-0.00000021578515098,-0.00000002243962149,-148.92795708184181080,-0.00000002548163877,0.00000000000000000,0
response-high_pass-44100-1024-2-4,44100,high_pass,100.00000000000000000,19844.00000000000000000,1024,-0.00000000000705213,-0.00000000000563167,-0.00000021578515098,-0.00000002243962149,-148.92795708184181080,-0.00000002548163877,0.00000000000000000,0
response-high_pass-44100-1-2-5,44100,high_pass,100.00000000000000000,21609.00000000000000000,1,-0.00000000000001061,0.00000000000004629,-0.00000020490736428,-0.00078659686177774,-56.79741452802115731,-0.00000380329769241,0.00000000000000000,0
response-high_pass-44100-127-2-5,44100,high_pass,100.00000000000000000,21609.00000000000000000,127,-0.00000000000001061,0.00000000000004629,-0.00000020490736428,-0.00078659686177774,-56.79741452802115731,-0.00000380329769241,0.00000000000000000,0
response-high_pass-44100-128-2-5,44100,high_pass,100.00000000000000000,21609.00000000000000000,128,-0.00000000000001061,0.00000000000004629,-0.00000020490736428,-0.00078659686177774,-56.79741452802115731,-0.00000380329769241,0.00000000000000000,0
response-high_pass-44100-255-2-5,44100,high_pass,100.00000000000000000,21609.00000000000000000,255,-0.00000000000001061,0.00000000000004629,-0.00000020490736428,-0.00078659686177774,-56.79741452802115731,-0.00000380329769241,0.00000000000000000,0
response-high_pass-44100-1024-2-5,44100,high_pass,100.00000000000000000,21609.00000000000000000,1024,-0.00000000000001061,0.00000000000004629,-0.00000020490736428,-0.00078659686177774,-56.79741452802115731,-0.00000380329769241,0.00000000000000000,0
response-high_pass-44100-1-3-0,44100,high_pass,1000.00000000000000000,252.00000000000000000,1,-23.98890177082105879,-23.98890157710632565,-23.98890320486898986,-23.98890161028045043,-146.22766283010793131,-23.98890163083543570,0.00000000000000000,0
response-high_pass-44100-127-3-0,44100,high_pass,1000.00000000000000000,252.00000000000000000,127,-23.98890177082105879,-23.98890157710632565,-23.98890320486898986,-23.98890161028045043,-146.22766283010793131,-23.98890163083543570,0.00000000000000000,0
response-high_pass-44100-128-3-0,44100,high_pass,1000.00000000000000000,252.00000000000000000,128,-23.98890177082105879,-23.98890157710632565,-23.98890320486898986,-23.98890161028045043,-146.22766283010793131,-23.98890163083543570,0.00000000000000000,0
response-high_pass-44100-255-3-0,44100,high_pass,1000.00000000000000000,252.00000000000000000,255,-23.98890177082105879,-23.98890157710632565,-23.98890320486898986,-23.98890161028045043,-146.22766283010793131,-23.98890163083543570,0.00000000000000000,0
response-high_pass-44100-1024-3-0,44100,high_pass,1000.00000000000000000,252.00000000000000000,1024,-23.98890177082105879,-23.98890157710632565,-23.98890320486898986,-23.98890161028045043,-146.22766283010793131,-23.98890163083543570,0.00000000000000000,0
response-high_pass-44100-1-3-1,44100,high_pass,1000.00000000000000000,1000.00000000000000000,1,-3.01029995663984806,-3.01030034267133573,-3.01030082353973505,-3.01030018071879457,-142.35216807401801020,-3.01030019404091176,0.00000000000000000,0
response-high_pass-44100-127-3-1,44100,high_pass,1000.00000000000000000,1000.00000000000000000,127,-3.01029995663984806,-3.01030034267133573,-3.01030082353973505,-3.01030018071879457,-142.35216807401801020,-3.01030019404091176,0.00000000000000000,0
response-high_pass-44100-128-3-1,44100,high_pass,1000.00000000000000000,1000.00000000000000000,128,-3.01029995663984806,-3.01030034267133573,-3.01030082353973505,-3.01030018071879457,-142.35216807401801020,-3.01030019404091176,0.00000000000000000,0
response-high_pass-44100-255-3-1,44100,high_pass,1000.00000000000000000,1000.00000000000000000,255,-3.01029995663984806,-3.01030034267133573,-3.01030082353973505,-3.01030018071879457,-142.35216807401801020,-3.01030019404091176,0.00000000000000000,0
response-high_pass-44100-1024-3-1,44100,high_pass,1000.00000000000000000,1000.00000000000000000,1024,-3.01029995663984806,-3.01030034267133573,-3.01030082353973505,-3.01030018071879457,-142.35216807401801020,-3.01030019404091176,0.00000000000000000,0
response-high_pass-44100-1-3-2,44100,high_pass,1000.00000000000000000,4000.00000000000000000,1,-0.01526838130547939,-0.01526844141557015,-0.01526848290895879,-0.01526843139719993,-147.15535769183057369,-0.01526844471921026,0.00000000000000000,0
response-high_pass-44100-127-3-2,44100,high_pass,1000.00000000000000000,4000.00000000000000000,127,-0.01526838130547939,-0.01526844141557015,-0.01526848290895879,-0.01526843139719993,-147.15535769183057369,-0.01526844471921026,0.00000000000000000,0
response-high_pass-44100-128-3-2,44100,high_pass,1000.00000000000000000,4000.00000000000000000,128,-0.01526838130547939,-0.01526844141557015,-0.01526848290895879,-0.01526843139719993,-147.15535769183057369,-0.01526844471921026,0.00000000000000000,0
response-high_pass-44100-255-3-2,44100,high_pass,1000.00000000000000000,4000.00000000000000000,255,-0.01526838130547939,-0.01526844141557015,-0.01526848290895879,-0.01526843139719993,-147.15535769183057369,-0.01526844471921026,0.00000000000000000,0
response-high_pass-44100-1024-3-2,44100,high_pass,1000.00000000000000000,4000.00000000000000000,1024,-0.01526838130547939,-0.01526844141557015,-0.01526848290895879,-0.01526843139719993,-147.15535769183057369,-0.01526844471921026,0.00000000000000000,0
response-high_pass-44100-1-3-3,44100,high_pass,1000.00000000000000000,8820.00000000000000000,1,-0.00040411706935471,-0.00040412699825935,-0.00040409147632486,-0.00040399273402163,-147.36998244406544245,-0.00040411555360442,0.00000000000000000,0
response-high_pass-44100-127-3-3,44100,high_pass,1000.00000000000000000,8820.00000000000000000,127,-0.00040411706935471,-0.00040412699825935,-0.00040409147632486,-0.00040399273402163,-147.36998244406544245,-0.00040411555360442,0.00000000000000000,0
response-high_pass-44100-128-3-3,44100,high_pass,1000.00000000000000000,8820.00000000000000000,128,-0.00040411706935471,-0.00040412699825935,-0.00040409147632486,-0.00040399273402163,-147.36998244406544245,-0.00040411555360442,0.00000000000000000,0
response-high_pass-44100-255-3-3,44100,high_pass,1000.00000000000000000,8820.00000000000000000,255,-0.00040411706935471,-0.00040412699825935,-0.00040409147632486,-0.00040399273402163,-147.36998244406544245,-0.00040411555360442,0.00000000000000000,0
response-high_pass-44100-1024-3-3,44100,high_pass,1000.00000000000000000,8820.00000000000000000,1024,-0.00040411706935471,-0.00040412699825935,-0.00040409147632486,-0.00040399273402163,-147.36998244406544245,-0.00040411555360442,0.00000000000000000,0
response-high_pass-44100-1-3-4,44100,high_pass,1000.00000000000000000,19844.00000000000000000,1,-0.00000007099412011,-0.00000007112604782,0.00000004238758457,-0.00000006754080556,-148.03329800580112874,-0.00000007058281515,0.00000000000000000,0
response-high_pass-44100-127-3-4,44100,high_pass,1000.00000000000000000,19844.00000000000000000,127,-0.00000007099412011,-0.00000007112604782,0.00000004238758457,-0.00000006754080556,-148.03329800580112874,-0.00000007058281515,0.00000000000000000,0
